date,ticker,adj_close
2015-06-10,F,13.04467329647
2015-06-09,F,12.914486936226
2015-06-08,F,12.931845117592
2015-06-05,F,12.827696029397
2015-06-04,F,13.062031477836
2015-06-03,F,13.192217838081
2015-06-02,F,13.244292382178
2015-06-01,F,13.331083289008
2015-05-29,F,13.166180566032
2015-05-28,F,13.270329654227
2015-05-27,F,13.296366926276
2015-05-26,F,13.183538747398
2015-05-22,F,13.252971472861
2015-05-21,F,13.461269649252
2015-05-20,F,13.27900874491
2015-05-19,F,13.452590558569
2015-05-18,F,13.522023284033
2015-05-15,F,13.435232377203
2015-05-14,F,13.252971472861
2015-05-13,F,13.374478742423
2015-05-12,F,13.504665102667
2015-05-11,F,13.582776918813
2015-05-08,F,13.600135100179
2015-05-07,F,13.461269649252
2015-05-06,F,13.435232377203
2015-05-05,F,13.478627830618
2015-05-04,F,13.695605097692
2015-05-01,F,13.72164236974
2015-04-30,F,13.712963279057
2015-04-29,F,13.903903274082
2015-04-28,F,13.809318898068
2015-04-27,F,13.671741623866
2015-04-24,F,13.559960088576
2015-04-23,F,13.551361508939
2015-04-22,F,13.680340203503
2015-04-21,F,13.602952986765
2015-04-20,F,13.680340203503
2015-04-17,F,13.551361508939
2015-04-16,F,13.706135942416
2015-04-15,F,13.817917477706
2015-04-14,F,13.731931681329
2015-04-13,F,13.645945884953
2015-04-10,F,13.783523159155
2015-04-09,F,13.714734522054
2015-04-08,F,13.740530260967
2015-04-07,F,13.671741623866
2015-04-06,F,13.757727420242
2015-04-02,F,13.783523159155
2015-04-01,F,13.680340203503
2015-03-31,F,13.878107535169
2015-03-30,F,13.895304694445
2015-03-27,F,13.740530260967
2015-03-26,F,13.76632599988
2015-03-25,F,13.91250185372
2015-03-24,F,14.239247879951
2015-03-23,F,14.247846459588
2015-03-20,F,14.17045924285
2015-03-19,F,14.050079127922
2015-03-18,F,14.153262083574
2015-03-17,F,14.093072026111
2015-03-16,F,14.179057822487
2015-03-13,F,13.929699012995
2015-03-12,F,13.903903274082
2015-03-11,F,13.542762929301
2015-03-10,F,13.516967190388
2015-03-09,F,13.783523159155
2015-03-06,F,13.697537362779
2015-03-05,F,13.852311796256
2015-03-04,F,13.783523159155
2015-03-03,F,13.903903274082
2015-03-02,F,14.247846459588
2015-02-27,F,14.050079127922
2015-02-26,F,14.084473446473
2015-02-25,F,14.196254981762
2015-02-24,F,14.067276287198
2015-02-23,F,14.084473446473
2015-02-20,F,14.101670605748
2015-02-19,F,14.127466344661
2015-02-18,F,13.938297592633
2015-02-17,F,13.852311796256
2015-02-13,F,14.015684809372
2015-02-12,F,14.067276287198
2015-02-11,F,13.972691911184
2015-02-10,F,13.835114636981
2015-02-09,F,13.688938783141
2015-02-06,F,13.637347305315
2015-02-05,F,13.628748725677
2015-02-04,F,13.645945884953
2015-02-03,F,13.456777132924
2015-02-02,F,13.130031106694
2015-01-30,F,12.648510646985
2015-01-29,F,12.768890761912
2015-01-28,F,12.433546156044
2015-01-27,F,12.637793320825
2015-01-26,F,12.833530187073
2015-01-23,F,12.68885511202
2015-01-22,F,12.790978694411
2015-01-21,F,12.739916903215
2015-01-20,F,12.773958097346
2015-01-16,F,12.782468395878
2015-01-15,F,12.646303619357
2015-01-14,F,12.859061082671
2015-01-13,F,12.944164067996
2015-01-12,F,12.952674366529
2015-01-09,F,12.944164067996
2015-01-08,F,13.12288033718
2015-01-07,F,12.799488992943
2015-01-06,F,12.442056454576
2015-01-05,F,12.561200634032
2015-01-02,F,13.071818545985
2014-12-31,F,13.19096272544
2014-12-30,F,13.19096272544
2014-12-29,F,13.207983322505
2014-12-26,F,13.148411232777
2014-12-24,F,13.020756754789
2014-12-23,F,13.046287650387
2014-12-22,F,12.952674366529
2014-12-19,F,12.790978694411
2014-12-18,F,12.603752126695
2014-12-17,F,12.297381379523
2014-12-16,F,11.991010632352
2014-12-15,F,12.15270630447
2014-12-12,F,12.756937500281
2014-12-11,F,13.003736157724
2014-12-10,F,12.901612575334
2014-12-09,F,13.131390635712
2014-12-08,F,13.131390635712
2014-12-05,F,13.361168696091
2014-12-04,F,13.454781979949
2014-12-03,F,13.6249879506
2014-12-02,F,13.531374666742
2014-12-01,F,13.420740785819
2014-11-28,F,13.386699591689
2014-11-26,F,13.284576009298
2014-11-25,F,13.344148099026
2014-11-24,F,13.335637800493
2014-11-21,F,13.131390635712
2014-11-20,F,13.15692153131
2014-11-19,F,13.139900934245
2014-11-18,F,13.19096272544
2014-11-17,F,13.22500391957
2014-11-14,F,12.884591978269
2014-11-13,F,12.705875709085
2014-11-12,F,12.408015260446
2014-11-11,F,12.229298991263
2014-11-10,F,11.914417945559
2014-11-07,F,12.059093020612
2014-11-06,F,12.076113617677
2014-11-05,F,11.863356154364
2014-11-04,F,11.871866452896
2014-11-03,F,11.905907647026
2014-10-31,F,11.991010632352
2014-10-30,F,11.871866452896
2014-10-29,F,11.837825258766
2014-10-28,F,11.943256548922
2014-10-27,F,11.656483439697
2014-10-24,F,11.622745426847
2014-10-23,F,12.145684626023
2014-10-22,F,11.917953039285
2014-10-21,F,12.027601581048
2014-10-20,F,11.951691052135
2014-10-17,F,11.825173503947
2014-10-16,F,11.791435491097
2014-10-15,F,11.487793375447
2014-10-14,F,11.622745426847
2014-10-13,F,11.420317349746
2014-10-10,F,11.631179930059
2014-10-09,F,11.673352446122
2014-10-08,F,11.985429064985
2014-10-07,F,11.892649529647
2014-10-06,F,12.246898664573
2014-10-03,F,12.305940187061
2014-10-02,F,12.280636677423
2014-10-01,F,12.305940187061
2014-09-30,F,12.474630251311
2014-09-29,F,12.744534354111
2014-09-26,F,13.773543746038
2014-09-25,F,13.663895204276
2014-09-24,F,13.841019771738
2014-09-23,F,13.638591694638
2014-09-22,F,13.798847255676
2014-09-19,F,14.043447848839
2014-09-18,F,13.984406326351
2014-09-17,F,13.942233810289
2014-09-16,F,13.933799307076
2014-09-15,F,13.891626791014
2014-09-12,F,13.992840829564
2014-09-11,F,14.051882352051
2014-09-10,F,14.026578842414
2014-09-09,F,14.026578842414
2014-09-08,F,14.169965397027
2014-09-05,F,14.456738506252
2014-09-04,F,14.566387048015
2014-09-03,F,14.735077112265
2014-09-02,F,14.844725654028
2014-08-29,F,14.68447009299
2014-08-28,F,14.692904596203
2014-08-27,F,14.642297576928
2014-08-26,F,14.498911022315
2014-08-25,F,14.532649035165
2014-08-22,F,14.48204201589
2014-08-21,F,14.676035589778
2014-08-20,F,14.68447009299
2014-08-19,F,14.642297576928
2014-08-18,F,14.701339099415
2014-08-15,F,14.600125060865
2014-08-14,F,14.701339099415
2014-08-13,F,14.692904596203
2014-08-12,F,14.51578002874
2014-08-11,F,14.48204201589
2014-08-08,F,14.41456599019
2014-08-07,F,14.186834403452
2014-08-06,F,14.321786454852
2014-08-05,F,14.229006919514
2014-08-04,F,14.355524467702
2014-08-01,F,14.178399900239
2014-07-31,F,14.355524467702
2014-07-30,F,14.726642609053
2014-07-29,F,14.714080787094
2014-07-28,F,14.7727026229
2014-07-25,F,14.755953526955
2014-07-24,F,14.940193582343
2014-07-23,F,14.88994629451
2014-07-22,F,14.923444486399
2014-07-21,F,14.822949910733
2014-07-18,F,14.839699006677
2014-07-17,F,14.856448102621
2014-07-16,F,14.906695390454
2014-07-15,F,14.688957143178
2014-07-14,F,14.69733169115
2014-07-11,F,14.630335307373
2014-07-10,F,14.487967991846
2014-07-09,F,14.596837115484
2014-07-08,F,14.328851580375
2014-07-07,F,14.50471708779
2014-07-03,F,14.50471708779
2014-07-02,F,14.420971608069
2014-07-01,F,14.412597060096
2014-06-30,F,14.437720704013
2014-06-27,F,14.471218895902
2014-06-26,F,14.404222512124
2014-06-25,F,14.404222512124
2014-06-24,F,14.211607908764
2014-06-23,F,14.136236977015
2014-06-20,F,13.9603714696
2014-06-19,F,14.052491497293
2014-06-18,F,14.094364237154
2014-06-17,F,14.060866045266
2014-06-16,F,13.926873277711
2014-06-13,F,13.868251441906
2014-06-12,F,13.834753250017
2014-06-11,F,14.152986072959
2014-06-10,F,14.245106100653
2014-06-09,F,14.236731552681
2014-06-06,F,14.303727936458
2014-06-05,F,13.968746017572
2014-06-04,F,14.060866045266
2014-06-03,F,13.859876893934
2014-06-02,F,13.76775686624
2014-05-30,F,13.76775686624
2014-05-29,F,13.851502345961
2014-05-28,F,13.658887742602
2014-05-27,F,13.533269523019
2014-05-23,F,13.416025851409
2014-05-22,F,13.323905823715
2014-05-21,F,13.323905823715
2014-05-20,F,13.206662152105
2014-05-19,F,13.332280371687
2014-05-16,F,13.198287604132
2014-05-15,F,13.139665768327
2014-05-14,F,13.18991305616
2014-05-13,F,13.282033083854
2014-05-12,F,13.26528398791
2014-05-09,F,13.206662152105
2014-05-08,F,13.240160343993
2014-05-07,F,12.947051164968
2014-05-06,F,13.030796644689
2014-05-05,F,13.181538508188
2014-05-02,F,13.315531275743
2014-05-01,F,13.323905823715
2014-04-30,F,13.524894975047
2014-04-29,F,13.396086451475
2014-04-28,F,13.271433041567
2014-04-25,F,13.11353872235
2014-04-24,F,13.562290998019
2014-04-23,F,13.487498952074
2014-04-22,F,13.379465996821
2014-04-21,F,13.279743268894
2014-04-17,F,13.296363723548
2014-04-16,F,13.354535314839
2014-04-15,F,13.163400086313
2014-04-14,F,13.047056903732
2014-04-11,F,12.988885312441
2014-04-10,F,12.988885312441
2014-04-09,F,13.163400086313
2014-04-08,F,13.379465996821
2014-04-07,F,13.246502359585
2014-04-04,F,13.404396678802
2014-04-03,F,13.62046258931
2014-04-02,F,13.6786341806
2014-04-01,F,13.562290998019
2014-03-31,F,12.96395463046
2014-03-28,F,12.839301220551
2014-03-27,F,12.673096674007
2014-03-26,F,12.673096674007
2014-03-25,F,12.739578492625
2014-03-24,F,12.789439856588
2014-03-21,F,12.855921675206
2014-03-20,F,12.922403493824
2014-03-19,F,12.864231902533
2014-03-18,F,12.87254212986
2014-03-17,F,12.698027355989
2014-03-14,F,12.531822809444
2014-03-13,F,12.614925082717
2014-03-12,F,12.797750083915
2014-03-11,F,12.714647810643
2014-03-10,F,12.889162584515
2014-03-07,F,12.980575085114
