None,date,ticker,adj_close
2762,2015-09-23,ABC,98.996792060817
2763,2015-09-22,ABC,99.430059483763
2764,2015-09-21,ABC,101.36532063959
2765,2015-09-18,ABC,102.15483016585
2766,2015-09-17,ABC,102.80954538275
2767,2015-09-16,ABC,102.33776529998
2768,2015-09-15,ABC,101.63490925831
2769,2015-09-14,ABC,100.7298617526
2770,2015-09-11,ABC,100.46027313388
2771,2015-09-10,ABC,98.236167029422
2772,2015-09-09,ABC,97.003761915263
2773,2015-09-08,ABC,97.292606863894
2774,2015-09-04,ABC,95.309204883294
2775,2015-09-03,ABC,96.281649543685
2776,2015-09-02,ABC,96.551238162407
2777,2015-09-01,ABC,95.578793502016
2778,2015-08-31,ABC,96.320162203502
2779,2015-08-28,ABC,97.119299894715
2780,2015-08-27,ABC,97.388888513437
2781,2015-08-26,ABC,96.868967605901
2782,2015-08-25,ABC,93.787954820503
2783,2015-08-24,ABC,94.866309295393
2784,2015-08-21,ABC,98.014719235471
2785,2015-08-20,ABC,99.526341133307
2786,2015-08-19,ABC,102.19334282567
2787,2015-08-18,ABC,101.0475911961
2788,2015-08-17,ABC,100.7298617526
2789,2015-08-14,ABC,100.07514653571
2790,2015-08-13,ABC,100.01737754598
2791,2015-08-12,ABC,100.219006127
2792,2015-08-11,ABC,100.34382382001
2793,2015-08-10,ABC,100.47824287402
2794,2015-08-07,ABC,100.199803405
2795,2015-08-06,ABC,100.57425648403
2796,2015-08-05,ABC,102.97459673425
2797,2015-08-04,ABC,101.97605519016
2798,2015-08-03,ABC,101.60160211112
2799,2015-07-31,ABC,101.53439258412
2800,2015-07-30,ABC,100.30541837601
2801,2015-07-29,ABC,103.48346886729
2802,2015-07-28,ABC,103.69469880931
2803,2015-07-27,ABC,103.08981306626
2804,2015-07-24,ABC,104.39559816237
2805,2015-07-23,ABC,105.73018734149
2806,2015-07-22,ABC,110.36764470491
2807,2015-07-21,ABC,109.55152901984
2808,2015-07-20,ABC,110.18521884589
2809,2015-07-17,ABC,108.68740652976
2810,2015-07-16,ABC,107.42002687764
2811,2015-07-15,ABC,106.12384314253
2812,2015-07-14,ABC,105.99902544952
2813,2015-07-13,ABC,105.68218053649
2814,2015-07-10,ABC,105.09649751544
2815,2015-07-09,ABC,104.52041585538
2816,2015-07-08,ABC,103.5314756723
2817,2015-07-07,ABC,104.29958455236
2818,2015-07-06,ABC,103.72350289231
2819,2015-07-02,ABC,102.83057631923
2820,2015-07-01,ABC,103.41625934029
2821,2015-06-30,ABC,102.10087288317
2822,2015-06-29,ABC,101.87044021915
2823,2015-06-26,ABC,103.5410770333
2824,2015-06-25,ABC,103.32024573028
2825,2015-06-24,ABC,105.23091656945
2826,2015-06-23,ABC,107.35281735064
2827,2015-06-22,ABC,107.33361462864
2828,2015-06-19,ABC,107.02637107661
2829,2015-06-18,ABC,107.45843232165
2830,2015-06-17,ABC,107.06477652061
2831,2015-06-16,ABC,106.74793160758
2832,2015-06-15,ABC,106.21985675254
2833,2015-06-12,ABC,105.7589914245
2834,2015-06-11,ABC,106.00862681052
