date,AAPL,AMZN,FB,GOOG,NFLX
2016-08-10,106.11532079532,768.56,124.88,784.68,93.93
2016-08-11,106.04654234666,771.24,124.9,784.85,95.89
2016-08-12,106.29217966331998,772.56,124.88,783.22,96.59
2016-08-15,107.56949370993,768.49,123.9,782.44,95.31
2016-08-16,107.47123878326,764.04,123.3,777.14,95.12
2016-08-17,107.31403090059999,764.63,124.37,779.91,96.37
2016-08-18,107.17647400328,764.46,123.91,777.5,96.16
2016-08-19,107.45158779793002,757.31,123.56,775.42,95.87
2016-08-22,106.61642092129999,759.48,124.15,772.15,95.26
2016-08-23,106.95048767195,762.45,124.37,772.08,95.94
2016-08-24,106.14479727332,757.25,123.48,769.64,95.18
2016-08-25,105.69282461068,759.22,123.89,769.41,97.32
2016-08-26,105.0738185727,769.0,124.96,769.54,97.58
2016-08-29,104.95591266071,771.29,126.54,772.15,97.3
2016-08-30,104.15022226208,767.58,125.84,769.09,97.45
2016-08-31,104.24847718874001,769.16,126.12,767.05,97.45
2016-09-01,104.86748322671,770.62,126.17,768.78,97.38
2016-09-02,105.85003249333,772.44,126.51,771.46,97.38
2016-09-06,105.82055601534,788.87,129.73,780.08,100.09
2016-09-07,106.46903853131,784.48,131.05,780.35,99.15
2016-09-08,103.6785986141,784.06,130.27,775.32,99.66
2016-09-09,101.33030586687,760.14,127.1,759.66,96.5
2016-09-12,103.59999467277001,771.49,128.69,769.02,99.05
2016-09-13,106.06619333199,761.01,127.21,759.69,96.09
2016-09-14,109.81953153049,761.09,127.77,762.49,97.01
2016-09-15,113.55321874366001,769.69,128.35,771.76,97.34
2016-09-16,112.91456172036001,778.52,129.07,768.88,99.48
2016-09-19,111.59794570308,775.1,128.65,765.7,98.06
2016-09-20,111.58812021042,780.22,128.64,771.41,98.25
2016-09-21,111.56846922508001,789.74,129.94,776.22,94.88
2016-09-22,112.61979694037,804.7,130.08,787.21,95.83
2016-09-23,110.74312784112,805.75,127.96,786.9,95.94
2016-09-26,110.91016121645,799.16,127.31,774.21,94.56
2016-09-27,111.11649656243999,816.11,128.69,783.01,97.07
2016-09-28,111.96148893173,828.72,129.23,781.56,97.48
2016-09-29,110.22237672981001,829.05,128.09,775.01,96.67
2016-09-30,111.07719459177,837.31,128.27,777.29,98.55
2016-10-03,110.55644348046002,836.74,128.77,772.56,102.63
2016-10-04,111.02806712844,834.03,128.19,776.43,102.34
2016-10-05,111.07719459177,844.36,128.47,776.47,106.28
2016-10-06,111.90253597573,841.66,128.74,776.86,105.07
2016-10-07,112.06956935106001,839.43,128.99,775.08,104.82
2016-10-10,114.02484239164,841.71,130.24,785.94,103.33
2016-10-11,114.2704797083,831.0,128.88,783.07,100.59
2016-10-12,115.29233094558998,834.09,129.05,786.14,99.5
2016-10-13,114.93861320959999,829.28,127.82,778.19,100.23
2016-10-14,115.57727023291001,822.96,127.88,778.53,101.47
2016-10-17,115.49866629158001,812.95,127.54,779.96,99.8
2016-10-18,115.42006235024999,817.65,128.57,795.26,118.79
2016-10-19,115.07617010693001,817.69,130.11,801.56,121.87
2016-10-20,115.01721715093001,810.32,130.0,796.97,123.35
2016-10-21,114.56524448828002,818.99,132.07,799.37,127.5
2016-10-24,115.59692121824,838.09,133.28,813.11,127.33
2016-10-25,116.18645077821002,835.18,132.29,807.67,126.51
2016-10-26,113.57286972898999,822.59,131.04,799.07,126.97
2016-10-27,112.48224004304,818.36,129.69,795.35,126.47
2016-10-28,111.73550260041,776.32,131.29,795.37,126.57
2016-10-31,111.55864373241998,789.82,130.99,784.54,124.87
2016-11-01,109.54441773584,785.41,129.5,783.61,123.3
2016-11-02,109.6426726625,765.56,127.17,768.7,122.34
2016-11-03,108.47343903522,767.03,120.0,762.13,122.14
2016-11-04,107.49566698164,755.05,120.75,762.02,122.03
2016-11-07,109.04627518782,784.93,122.15,782.52,124.58
2016-11-08,109.68824673815,787.75,124.22,790.51,124.34
2016-11-09,109.51047000114,771.88,123.18,785.31,122.19
2016-11-10,106.45863601571999,742.38,120.8,762.56,115.42
2016-11-11,107.09073108066,739.01,119.02,754.02,114.78
2016-11-14,104.40432705466,719.07,115.08,736.08,113.38
2016-11-15,105.78703500921999,743.24,117.2,758.49,113.59
2016-11-16,108.63146280145,746.49,116.34,764.48,115.19
2016-11-17,108.5919568599,756.4,117.79,771.23,115.03
